Decade,City,Pop_millions,Urban_land_km2,Density
1990,Durban,23.538682899999998,10324.5223022098,2279.881064808385
1990,Lagos,42.6978428,15004.189086348,2845.7281199455074
2000,Durban,29.316708,13237.851396307,2214.612260126939
2000,Lagos,67.8730668,18771.468907667,3615.7568240319215
2010,Durban,35.3049787,15118.6620802909,2335.1919973146655
2010,Lagos,104.4379274,25189.868658669,4146.0290569660465
