DisNo.,Country,Location,Year,Disaster_type,Subtype,Deaths,Total_affected,Total_damage_000usd,City,Damage_million_usd,Decade
2011-0343-NGA,Nigeria,"Ibadan North, Ibadan South-West, Oluyole, Ido, Ibadan North-West, Egbeda, Ona Ara, Ibadan North East, Lagelu, Akinyele districts (Oyo province)",2011,Flood,Riverine flood,120.0,3000.0,,Lagos,0.0,2010
2011-0582-NGA,Nigeria,"Imo, Lagos provinces",2011,Flood,Riverine flood,10.0,0.0,,Lagos,0.0,2010
1959-0032-ZAF,South Africa,,1959,Flood,Flood (General),51.0,0.0,,Durban,0.0,1950
1968-0070-ZAF,South Africa,Port Elizabeth,1968,Flood,Flood (General),0.0,0.0,30000.0,Durban,30.0,1960
2000-0547-NGA,Nigeria,Zamfara province,2000,Flood,Flood (General),0.0,750.0,1900.0,Lagos,1.9,2000
2000-0596-NGA,Nigeria,Gusau district (Zamfara province),2000,Flood,Flood (General),0.0,2000.0,,Lagos,0.0,2000
2001-0276-NGA,Nigeria,"oke-Ogun, Idimissa/olle-Oje, Ogbonmo, Oke-Idogbon, Ijebu-Owo, Post-Office, Oke-Ajama, Ilore, Iyere, Ishokun Oke, Ishokun Odo areas (Owo district, Ondo province)",2001,Flood,Flood (General),0.0,2000.0,,Lagos,0.0,2000
1993-0215-ZAF,South Africa,Northern Natal province,1993,Flood,Riverine flood,12.0,15000.0,,Durban,0.0,1990
1998-0249-NGA,Nigeria,Jigawa State,1998,Flood,Flood (General),15.0,7000.0,,Lagos,0.0,1990
2000-0364-NGA,Nigeria,"Sokoto North, Sokoto South districts (Sokoto province)",2000,Flood,Flood (General),0.0,250.0,,Lagos,0.0,2000
2000-0511-NGA,Nigeria,Cross River province,2000,Flood,Flood (General),4.0,1000.0,,Lagos,0.0,2000
2002-0238-NGA,Nigeria,"Bariga, Bode Joseh areas (Shomolu district, Lagos province), Lagos Mainland district (Lagos province)",2002,Flood,Flood (General),0.0,200.0,,Lagos,0.0,2000
2003-0455-NGA,Nigeria,"Kaduna, Kano, Niger, Jigawa provinces",2003,Flood,Riverine flood,16.0,210000.0,2570.0,Lagos,2.57,2000
2004-0268-NGA,Nigeria,Lagos province,2004,Flood,Riverine flood,0.0,1000.0,,Lagos,0.0,2000
2004-0434-NGA,Nigeria,Gombe province,2004,Flood,Flash flood,25.0,3000.0,,Lagos,0.0,2000
2005-0065-NGA,Nigeria,Lagos province,2005,Flood,Riverine flood,0.0,1000.0,,Lagos,0.0,2000
2007-0419-NGA,Nigeria,"Plateau, Adamawa, Borno, Anambra, Bauchi, Yobe, Ogun, Nassarawa, Lagos, Sokoto, Kebbi provinces",2007,Flood,Riverine flood,68.0,50000.0,,Lagos,0.0,2000
2008-0245-ZAF,South Africa,KwaZulu-Natal province,2008,Flood,Riverine flood,11.0,4000.0,1264.0,Durban,1.264,2000
2011-0230-NGA,Nigeria,Kano province,2011,Flood,Riverine flood,24.0,950.0,4500.0,Lagos,4.5,2010
